player,team,position
jamarr_chase,CIN,WR
bijan_robinson,ATL,RB
saquon_barkley,PHI,RB
justin_jefferson,MIN,WR
jahmyr_gibbs,DET,RB
ceedee_lamb,DAL,WR
puka_nacua,LAR,WR
malik_nabers,NYG,WR
amon_ra_st_brown,DET,WR
nico_collins,HOU,WR
ashton_jeanty,LVR,RB
derrick_henry,BAL,RB
christian_mccaffrey,SFO,RB
brian_thomas,JAC,WR
devon_achane,MIA,RB
drake_london,ATL,WR
brock_bowers,LVR,TE
aj_brown,PHI,WR
josh_jacobs,GNB,RB
jonathan_taylor,IND,RB
bucky_irving,TB,RB
ladd_mcconkey,LAC,WR
trey_mcbride,ARI,TE
josh_allen,BUF,QB
chase_brown,CIN,RB
lamar_jackson,BAL,QB
kyren_williams,LAR,RB
tyreek_hill,MIA,WR
jaxon_smith_njigba,SEA,WR
tee_higgins,CIN,WR
jayden_daniels,WAS,QB
george_kittle,SFO,TE
garrett_wilson,NYJ,WR
davante_adams,LAR,WR
breece_hall,NYJ,RB
mike_evans,TB,WR
james_cook,BUF,RB
jalen_hurts,PHI,QB
kenneth_walker,SEA,RB
terry_mclaurin,WAS,WR
alvin_kamara,NOR,RB
marvin_harrison,ARI,WR
dj_moore,CHI,WR
chuba_hubbard,CAR,RB
joe_burrow,CIN,QB
omarion_hampton,LAC,RB
dk_metcalf,PIT,WR
james_conner,ARI,RB
courtland_sutton,DEN,WR
devonta_smith,PHI,WR
zay_flowers,BAL,WR
rashee_rice,KAN,WR
jameson_williams,DET,WR
david_montgomery,DET,RB
dandre_swift,CHI,RB
xavier_worthy,KAN,WR
joe_mixon,HOU,RB
sam_laporta,DET,TE
tetairoa_mcmillan,CAR,WR
treveyon_henderson,NWE,RB
jaylen_waddle,MIA,WR
aaron_jones,MIN,RB
rj_harvey,DEN,RB
patrick_mahomes,KAN,QB
calvin_ridley,TEN,WR
george_pickens,DAL,WR
chris_olave,NOR,WR
tony_pollard,TEN,RB
isiah_pacheco,KAN,RB
kaleb_johnson,PIT,RB
baker_mayfield,TB,QB
tj_hockenson,MIN,TE
travis_hunter,JAC,WR
brian_robinson,WAS,RB
bo_nix,DEN,QB
jerry_jeudy,CLE,WR
chris_godwin,TB,WR
kyler_murray,ARI,QB
rome_odunze,CHI,WR
jordan_addison,MIN,WR
mark_andrews,BAL,TE
travis_kelce,KAN,TE
jauan_jennings,SFO,WR
jakobi_meyers,LVR,WR
travis_etienne,JAC,RB
david_njoku,CLE,TE
tyrone_tracy,NYG,RB
evan_engram,DEN,TE
justin_fields,NYJ,QB
jaylen_warren,PIT,RB
khalil_shakir,BUF,WR
brock_purdy,SFO,QB
jayden_reed,GNB,WR
dak_prescott,DAL,QB
caleb_williams,CHI,QB
stefon_diggs,NWE,WR
justin_herbert,LAC,QB
deebo_samuel,WAS,WR
quinshon_judkins,CLE,RB
javonte_williams,DAL,RB
tucker_kraft,GNB,TE
jared_goff,DET,QB
najee_harris,LAC,RB
josh_downs,IND,WR
ricky_pearsall,SFO,WR
rhamondre_stevenson,NWE,RB
jordan_mason,MIN,RB
drake_maye,NWE,QB
jordan_love,GNB,QB
michael_pittman,IND,WR
cam_skattebo,NYG,RB
zach_charbonnet,SEA,RB
cooper_kupp,SEA,WR
trevor_lawrence,JAC,QB
tyjae_spears,TEN,RB
dalton_kincaid,BUF,TE
jake_ferguson,DAL,TE
brandon_aiyuk,SFO,WR
cj_stroud,HOU,QB
darnell_mooney,ATL,WR
rachaad_white,TB,RB
jk_dobbins,DEN,RB
tyler_warren,IND,TE
tank_bigsby,JAC,RB
dallas_goedert,PHI,TE
emeka_egbuka,TB,WR
jj_mccarthy,MIN,QB
keon_coleman,BUF,WR
matthew_golden,GNB,WR
ray_davis,BUF,RB
austin_ekeler,WAS,RB
rashid_shaheed,NOR,WR
christian_kirk,HOU,WR
trey_benson,ARI,RB
tua_tagovailoa,MIA,QB
matthew_stafford,LAR,QB
jonnu_smith,PIT,TE
colston_loveland,CHI,TE
isaac_guerendo,SFO,RB
rashod_bateman,BAL,WR
tyler_allgeier,ATL,RB
rico_dowdle,CAR,RB
hunter_henry,NWE,TE
bryce_young,CAR,QB
kyle_pitts,ATL,TE
luther_burden,CHI,WR
jaylen_wright,MIA,RB
cedric_tillman,CLE,WR
tre_harris,LAC,WR
marvin_mims,DEN,WR
marquise_brown,KAN,WR
jerome_ford,CLE,RB
bhayshul_tuten,JAC,RB
michael_penix,ATL,QB
braelon_allen,NYJ,RB
nick_chubb,HOU,RB
jaydon_blue,DAL,RB
romeo_doubs,GNB,WR
zach_ertz,WAS,TE
adam_thielen,CAR,WR
jayden_higgins,HOU,WR
quentin_johnston,LAC,WR
roschon_johnson,CHI,RB
jalen_mcmillan,TB,WR
geno_smith,LVR,QB
kyle_williams,NWE,WR
isaiah_likely,BAL,TE
dylan_sampson,CLE,RB
wandale_robinson,NYG,WR
marshawn_lloyd,GNB,RB
xavier_legette,CAR,WR
blake_corum,LAR,RB
deandre_hopkins,BAL,WR
demario_douglas,NWE,WR
sam_darnold,SEA,QB
joshua_palmer,BUF,WR
mike_gesicki,CIN,TE
cameron_ward,TEN,QB
brenton_strange,JAC,TE
pat_freiermuth,PIT,TE
jack_bech,LVR,WR
cade_otton,TB,TE
alec_pierce,IND,WR
kareem_hunt,KAN,RB
jalen_coker,CAR,WR
chig_okonkwo,TEN,TE
dj_giddens,IND,RB
aaron_rodgers,PIT,QB
michael_wilson,ARI,WR
mason_taylor,NYJ,TE
justice_hill,BAL,RB
adonai_mitchell,IND,WR
dalton_schultz,HOU,TE
kendre_miller,NOR,RB
dontayvion_wicks,GNB,WR
darius_slayton,NYG,WR
devin_neal,NOR,RB
elijah_arroyo,SEA,TE
jaylin_noel,HOU,WR
andrei_iosivas,CIN,WR
kyle_monangai,CHI,RB
miles_sanders,DAL,RB
anthony_richardson,IND,QB
jaleel_mclaughlin,DEN,RB
will_shipley,PHI,RB
pat_bryant,DEN,WR
keenan_allen,2TM,WR
jatavion_sanders,CAR,TE
calvin_austin,PIT,WR
juwan_johnson,NOR,TE
devaughn_vele,DEN,WR
keaton_mitchell,BAL,RB
raheem_mostert,LVR,RB
jarquez_hunter,LAR,RB
elic_ayomanor,TEN,WR
audric_estime,DEN,RB
russell_wilson,NYG,QB
elijah_mitchell,KAN,RB
brashard_smith,KAN,RB
cole_kmet,CHI,TE
tyler_lockett,TEN,WR
diontae_johnson,CLE,WR
jalen_tolbert,DAL,WR
ollie_gordon,MIA,RB
tahj_brooks,CIN,RB
brandin_cooks,NOR,WR
antonio_gibson,NWE,RB
trevor_etienne,CAR,RB
devin_singletary,NYG,RB
elijah_moore,BUF,WR
jalen_royals,KAN,WR
daniel_jones,IND,QB
kenneth_gainwell,PIT,RB
roman_wilson,PIT,WR
nick_westbrook_ikhine,MIA,WR
dyami_brown,JAC,WR
amari_cooper,2TM,WR
kayshon_boutte,NWE,WR
sean_tucker,TB,RB
khalil_herbert,IND,RB
noah_gray,KAN,TE
woody_marks,HOU,RB
malik_washington,MIA,WR
ty_johnson,BUF,RB
jordan_james,SFO,RB
zack_moss,CIN,RB
isaiah_davis,NYJ,RB
harold_fannin,CLE,TE
tre_tucker,LVR,WR
joe_flacco,CLE,QB
tyler_shough,NOR,QB
darren_waller,MIA,TE
taysom_hill,NOR,TE
tim_patrick,DET,WR
alexander_mattison,MIA,RB
kimani_vidal,LAC,RB
sincere_mccormick,LVR,RB
dameon_pierce,HOU,RB
theo_johnson,NYG,TE
jalen_nailor,MIN,WR
damien_martinez,SEA,RB
xavier_restrepo,TEN,WR
parker_washington,JAC,WR
jaxson_dart,NYG,QB
terrance_ferguson,LAR,TE
noah_fant,2TM,TE
christian_watson,GNB,WR
ty_chandler,MIN,RB
tory_horton,SEA,WR
luke_mccaffrey,WAS,WR
oronde_gadsden,LAC,TE
phil_mafah,DAL,RB
jacory_croskey_merritt,WAS,RB
emanuel_wilson,GNB,RB
chris_brooks,GNB,RB
gabe_davis,2TM,WR
ben_sinnott,WAS,TE
jermaine_burton,CIN,WR
isaac_teslaa,DET,WR
tez_johnson,TB,WR
raheim_sanders,LAC,RB
chris_rodriguez,WAS,RB
tutu_atwell,LAR,WR
tyler_higbee,LAR,TE
donte_thornton,LVR,WR
tyler_conklin,LAC,TE
shedeur_sanders,CLE,QB
will_dissly,LAC,TE
zamir_white,LVR,RB
cam_akers,NOR,RB
gus_edwards,2TM,RB
tai_felton,MIN,WR
aj_dillon,PHI,RB
jordan_whittington,LAR,WR
ray_ray_mccloud,ATL,WR
john_metchie,HOU,WR
marquez_valdes_scantling,SEA,WR
demarcus_robinson,SFO,WR
jalen_milroe,SEA,QB
troy_franklin,DEN,WR
savion_williams,GNB,WR
samaje_perine,CIN,RB
josh_reynolds,NYJ,WR
noah_brown,WAS,WR
michael_mayer,LVR,TE
dawson_knox,BUF,TE
donovan_edwards,NYJ,RB
isaiah_bond,2TM,WR
jameis_winston,NYG,QB
kavontae_turpin,DAL,WR
spencer_rattler,NOR,QB
chimere_dike,TEN,WR
luke_musgrave,GNB,TE
mack_hollins,NWE,WR
kirk_cousins,ATL,QB
austin_hooper,NWE,TE
tank_dell,HOU,WR
aj_barner,SEA,TE
curtis_samuel,BUF,WR
lequint_allen,JAC,RB
allen_lazard,NYJ,WR
greg_dortch,ARI,WR
gunnar_helm,TEN,TE
jaylin_lane,WAS,WR
trey_sermon,PIT,RB
foster_moreau,NOR,TE
kenny_pickett,CLE,QB
kalel_mullings,TEN,RB
luke_schoonmaker,DAL,TE
jahan_dotson,PHI,WR
robert_woods,PIT,WR
ameer_abdullah,2TM,RB
dillon_gabriel,CLE,QB
tommy_tremble,CAR,TE
jacob_cowing,SFO,WR
antwane_wells,NYG,WR
van_jefferson,TEN,WR
theo_wease,MIA,WR
arian_smith,NYJ,WR
jaquinden_jackson,JAC,RB
kendrick_bourne,NWE,WR
jalynn_polk,NWE,WR
craig_reynolds,DET,RB
emari_demercado,ARI,RB
josh_oliver,MIN,TE
mason_rudolph,PIT,QB
jalin_hyatt,NYG,WR
zay_jones,ARI,WR
jonathon_brooks,CAR,RB
cade_stover,HOU,TE
olamide_zaccheaus,CHI,WR
grant_calcaterra,PHI,TE
malachi_corley,NYJ,WR
keandre_lambert_smith,LAC,WR
joe_milton,DAL,QB
jeremy_mcnichols,WAS,RB
cordarrelle_patterson,2TM,RB
elijah_higgins,ARI,TE
jeremy_ruckert,NYJ,TE
juju_smith_schuster,KAN,WR
dernest_johnson,2TM,RB
javon_baker,NWE,WR
pierre_strong,CLE,RB
luke_lachey,HOU,TE
kyle_juszczyk,SFO,RB
deshaun_watson,CLE,QB
darnell_washington,PIT,TE
zach_wilson,MIA,QB
treylon_burks,TEN,WR
aidan_oconnell,LVR,QB
chris_tyree,NOR,RB
stone_smartt,NYJ,TE
josh_whyle,TEN,TE
khadarel_hodge,ATL,WR
michael_gallup,WAS,WR
greg_dulcich,NYG,TE
kalif_raymond,DET,WR
brevin_jordan,HOU,TE
julian_hill,MIA,TE
deuce_vaughn,DAL,RB
tyrod_taylor,NYJ,QB
mitchell_evans,CAR,TE
clyde_edwards_helaire,NOR,RB
marcus_yarns,NOR,RB
marcus_mariota,WAS,QB
tyler_goodson,IND,RB
hunter_renfrow,CAR,WR
alec_ingold,MIA,RB
derius_davis,LAC,WR
jake_bobo,SEA,WR
kaden_prather,BUF,WR
devontez_walker,BAL,WR
efton_chism,NWE,WR
will_howard,PIT,QB
colby_parkinson,LAR,TE
tanner_hudson,CIN,TE
jonathan_mingo,DAL,WR
michael_carter,ARI,RB
tyler_badie,DEN,RB
julian_fleming,2TM,WR
gardner_minshew,KAN,QB
jake_browning,CIN,QB
julius_chestnut,TEN,RB
malik_willis,GNB,QB
bub_means,NOR,WR
tyler_johnson,NYJ,WR
jordan_watkins,SFO,WR
taylor_heinicke,LAC,QB
jaydn_ott,2TM,RB
johnny_mundt,JAC,TE
dj_chark,ATL,WR
carson_steele,KAN,RB
jimmy_horn,CAR,WR
jake_haener,NOR,QB
hunter_luepke,DAL,RB
sam_howell,MIN,QB
david_moore,CAR,WR
mac_jones,SFO,QB
kyle_trask,TB,QB
david_bell,CLE,WR
jamari_thrash,CLE,WR
adam_trautman,DEN,TE
brock_wright,DET,TE
daniel_bellinger,NYG,TE
patrick_taylor,SFO,RB
andy_dalton,CAR,QB
rasheen_ali,BAL,RB
pharaoh_brown,MIA,TE
joshua_dobbs,NWE,QB
cj_ham,MIN,RB
kylen_granson,PHI,TE
travis_homer,CHI,RB
drew_sample,CIN,TE
michael_burton,DEN,RB
harrison_bryant,PHI,TE
patrick_ricard,BAL,RB
mecole_hardman,GNB,WR
deandre_carter,CLE,WR
mitchell_trubisky,BUF,QB
hassan_haskins,LAC,RB
michael_woods,CLE,WR
carlos_washington,ATL,RB
nick_nash,ATL,WR
john_bates,WAS,TE
ricky_white,SEA,WR
payne_durham,TB,TE
charlie_woerner,ATL,TE
johnny_wilson,PHI,WR
cooper_rush,BAL,QB
brevyn_spann_ford,DAL,TE
jared_wiley,KAN,TE
troy_hairston,CLE,RB
simi_fehoko,ARI,WR
jacoby_brissett,ARI,QB
luke_farrell,SFO,TE
durham_smythe,CHI,TE
dare_ogunbowale,HOU,RB
dylan_laube,LVR,RB
ian_thomas,LVR,TE
velus_jones,NOR,WR
konata_mumpfield,LAR,WR
hendon_hooker,DET,QB
tyson_bagent,CHI,QB
israel_abanikanda,GNB,RB
jelani_woods,IND,TE
trent_sherfield,DEN,WR
jimmy_garoppolo,LAR,QB
eric_saubert,SEA,TE
ainias_smith,PHI,WR
tim_jones,MIN,WR
frank_gore,BUF,RB
teagan_quitoriano,ATL,TE
tylan_wallace,BAL,WR
ronnie_rivers,LAR,RB
jakob_johnson,HOU,RB
bo_melton,GNB,WR
